"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 17 20:36:20 IST 2022","Wed Aug 17 20:36:28 IST 2022","7704","ACExercise","API Test Scenario Demo","com.api.runner.TestRunner","com.api.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Wed Aug 17 20:36:21 IST 2022","Wed Aug 17 20:36:28 IST 2022","7021","","Validation of GET Category API","","Validate GET API response for TM Sandbox Category","","Validate GET API response for TM Sandbox Category",""
