"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","1","0","0"
"","Validation of GET Category API","Validate GET API response for TM Sandbox Category","0","0","1","0","0"
