"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","1","1","22","0","0"
"","End to End (Add > Get > Update > Get Place) Response validations","Validating GET API response after updating address","0","0","1","0","0"
"","End to End (Delete > Get > Update place) Response Validations","Validating DELETE API response after deleting place","0","0","1","0","0"
"","End to End (Delete > Get > Update place) Response Validations","Validating PUT API response after place got deleted","0","0","1","0","0"
"","End to End (Add > Get > Update > Get Place) Response validations","Trying to update address for added place","0","0","1","0","0"
"","End to End (Add > Get > Update > Get Place) Response validations","Validating GET API response for added place","0","0","1","0","0"
"","End to End (Delete > Get > Update place) Response Validations","Validating GET API response after place got deleted","0","0","1","0","0"
"","End to End (Add > Get > Update > Get Place) Response validations","Validating POST API response for adding place","0","0","1","0","0"
